index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time
dblp_to_amalgam1-weighted_distance-2,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[29.331283904, 29.522543107, 29.344559414, 29.313078363, 29.321925978]","[0.000415451, 0.000429621, 0.000402641, 0.00041321, 0.00040441]","[0.230560178, 0.218787404, 0.214411311, 0.23187822, 0.232833879]","[27.315849495, 27.519370394, 27.366725379000002, 27.317282759, 27.340494767]","[1.225453755, 1.249794998, 1.23140317, 1.2334461349999999, 1.215405171]","[0.00037093, 0.000373631, 0.000366642, 0.000378011, 0.000371001]"
dblp_to_amalgam1-weighted_distance-4,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[29.674276554, 29.768156197, 29.787663909, 29.693874447, 29.818696067]","[0.00045922, 0.000485151, 0.000449912, 0.00046893, 0.00045702]","[0.509677164, 0.522397941, 0.490517385, 0.512714355, 0.491299311]","[27.348720097, 27.448006421, 27.496337883, 27.394000935, 27.529259207]","[1.245929118, 1.25272702, 1.246757948, 1.245977891, 1.252385614]","[0.000421603, 0.00042845, 0.00042358, 0.000415531, 0.000442891]"
dblp_to_amalgam1-weighted_distance-8,"[0.912739965095986, 0.912739965095986, 0.912739965095986, 0.912739965095986, 0.912739965095986]","[21, 21, 21, 21, 21]","[29.901759744, 29.917512962, 29.812193089, 29.951796919, 29.848737289]","[0.000465091, 0.00044285, 0.000456571, 0.000461711, 0.000460661]","[0.683898409, 0.672135553, 0.668034023, 0.664569547, 0.637602964]","[27.40282837, 27.454888279, 27.337874514, 27.496726577, 27.414848826]","[1.246850652, 1.244027598, 1.260855546, 1.241651451, 1.244005732]","[0.00043718, 0.000428911, 0.000434531, 0.000425081, 0.00043711]"
dblp_to_amalgam1-weighted_distance-16,"[0.912739965095986, 0.912739965095986, 0.912739965095986, 0.912739965095986, 0.912739965095986]","[21, 21, 21, 21, 21]","[30.131993748, 30.66694888, 30.178084755, 30.06035941, 30.35061914]","[0.00046658, 0.000466371, 0.000468665, 0.000465823, 0.000475684]","[0.88303141, 0.901889521, 0.862791098, 0.871294091, 0.92504759]","[27.402890278, 27.893512533, 27.466297892, 27.372795117, 27.564229745]","[1.277273439, 1.3017157529999999, 1.291356107, 1.26091551, 1.2999238229999999]","[0.000446191, 0.000462321, 0.000429024, 0.000449182, 0.000438962]"
dblp_to_amalgam1-greedy-1,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[29.351980851, 29.269969431, 29.357226125, 29.3580898, 29.130668589]","[0.000403153, 0.000407512, 0.000379243, 0.000375692, 0.000379872]","[0.145030338, 0.140779407, 0.113270743, 0.112832194, 0.114863743]","[27.396583268, 27.365946746, 27.466597075, 27.480392663, 27.263141018]","[1.2328363900000001, 1.234612007, 1.240557782, 1.23814967, 1.227029071]","[0.000355853, 0.000345202, 0.000358932, 0.000353791, 0.000352461]"
dblp_to_amalgam1-greedy-2,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[29.333229268, 29.379487201, 29.279997003, 29.318820807, 29.365700883]","[0.000392452, 0.000383613, 0.000410771, 0.000382021, 0.000379981]","[0.157311653, 0.173670875, 0.17618403, 0.17259964, 0.165914321]","[27.40620893, 27.428949908, 27.350590391, 27.3812381, 27.423177052]","[1.235063142, 1.240449589, 1.229638498, 1.239480359, 1.244668228]","[0.000353412, 0.000345111, 0.000351921, 0.000376141, 0.000355772]"
dblp_to_amalgam1-greedy-4,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[29.420249764, 29.509670025, 29.523257373, 29.583965237, 29.501673537]","[0.000377092, 0.000404862, 0.000375871, 0.000391481, 0.000395601]","[0.247493776, 0.239859102, 0.263636786, 0.246866446, 0.243278507]","[27.392155449, 27.464163827, 27.475651417999998, 27.530671911, 27.483792315]","[1.234760442, 1.265006088, 1.240585805, 1.255895139, 1.234012714]","[0.000351572, 0.000369032, 0.000343482, 0.000372441, 0.000353081]"
dblp_to_amalgam1-greedy-8,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[29.620366292, 29.664276813, 29.695643609, 29.698007461, 29.757253106]","[0.000384351, 0.000392881, 0.000388122, 0.000386781, 0.000392191]","[0.405613213, 0.35080546, 0.368596766, 0.341594913, 0.371182621]","[27.391593769, 27.526681166, 27.525655726, 27.562906254, 27.596654518]","[1.258822285, 1.247937527, 1.255555537, 1.257763525, 1.247820125]","[0.000351941, 0.000350631, 0.000368721, 0.000360131, 0.00034688]"
dblp_to_amalgam1-greedy-16,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[29.852762056, 29.974721369, 30.007646948, 29.855862286, 29.897500685]","[0.00038832, 0.000376971, 0.000389331, 0.000378101, 0.000382481]","[0.560537319, 0.583678662, 0.552350529, 0.573833881, 0.574450351]","[27.451355236, 27.544433688, 27.605476762, 27.462963195, 27.50714573]","[1.274909743, 1.287380001, 1.297895474, 1.270205744, 1.272306356]","[0.000356781, 0.000360571, 0.000345741, 0.000403531, 0.00036941]"
amalgam1_to_amalgam3-naive-1,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[121.69968664, 123.684093246, 121.306219919, 123.24344911, 123.429149747]","[0.000818452, 0.000745171, 0.000759561, 0.000750212, 0.000746873]","[0.247804276, 0.174456516, 0.212739019, 0.175191062, 0.176305215]","[112.771484853, 114.841613313, 112.46679946, 114.439912, 114.578403748]","[6.619265902, 6.611701767, 6.584799563, 6.58411034, 6.608735247]","[0.000455332, 0.000375411, 0.000385481, 0.00037403, 0.000365171]"
