index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time,num_dup,num_tot
dblp_to_amalgam1-naive-0.9,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[59.643050292, 58.932926112, 60.581245772, 59.300674872, 60.329139518]","[0.000647441, 0.000654522, 0.000706242, 0.000681134, 0.000652931]","[1.539351202, 1.481215338, 1.5236720620000002, 1.5226759539999999, 1.467583318]","[56.113389181, 55.528893096, 57.041498073, 55.860140746, 56.8600254]","[1.444728303, 1.409888466, 1.494285222, 1.4161740520000001, 1.473549717]","[0.000665931, 0.000670001, 0.000733183, 0.000711372, 0.000657832]","[55, 55, 55, 55, 55]","[112, 112, 112, 112, 112]"
dblp_to_amalgam1-naive-1.0,"[1, 1, 1, 1, 1]","[23, 23, 23, 23, 23]","[60.347480099, 59.937839969, 60.215898687, 58.939010648, 61.526274819]","[0.000668882, 0.000663052, 0.000659044, 0.000665884, 0.000663761]","[1.523137803, 1.47678474, 1.435625347, 1.4506282750000001, 1.501725875]","[56.858987891, 56.522361455, 56.824296863, 55.671642082, 58.036204744]","[1.449166942, 1.429006958, 1.439970368, 1.325787518, 1.467214944]","[0.000673883, 0.000672091, 0.000674241, 0.000681911, 0.000667082]","[55, 55, 55, 55, 55]","[112, 112, 112, 112, 112]"
persondata-greedy-0.5,"[0.56, 0.56, 0.56, 0.56, 0.56]","[6, 6, 6, 6, 6]","[0.263193563, 0.258230615, 0.225020915, 0.246417883, 0.2293282]","[5.668e-05, 5.8001e-05, 6.0791e-05, 5.338e-05, 4.927e-05]","[0.224596014, 0.226955972, 0.193648882, 0.215733833, 0.199512043]","[0.011511573, 0.011650243, 0.011550492, 0.01169419, 0.011672641]","[0.00060703, 0.000688133, 0.000674632, 0.000635002, 0.000592972]","[0.00015036, 0.0001673, 0.00016079, 0.00014699, 0.00013877]","[15, 15, 15, 15, 15]","[32, 32, 32, 32, 32]"
persondata-greedy-0.7,"[0.82, 0.82, 0.82, 0.82, 0.82]","[11, 11, 11, 11, 11]","[0.409010883, 0.394712001, 0.377400408, 0.379021594, 0.369214799]","[8.311e-05, 9.7521e-05, 9.2451e-05, 7.143e-05, 8.19e-05]","[0.36155285, 0.349932126, 0.333296069, 0.336114669, 0.325540627]","[0.013469299, 0.015266237, 0.013456847, 0.013302018, 0.013289348]","[0.000860112, 0.001031733, 0.000949214, 0.000814612, 0.000836764]","[0.00019992, 0.000234851, 0.000202991, 0.000194521, 0.000196161]","[24, 24, 24, 24, 24]","[50, 50, 50, 50, 50]"
persondata-greedy-0.9,"[1, 1, 1, 1, 1]","[13, 13, 13, 13, 13]","[0.420040412, 0.414538824, 0.416859403, 0.464612756, 0.416413511]","[0.00010692, 9.439e-05, 0.00010198, 9.05e-05, 9.999e-05]","[0.36612981, 0.365299614, 0.368153877, 0.415488399, 0.368032417]","[0.014415233, 0.013819809, 0.013921251, 0.013730241, 0.014184009]","[0.001028744, 0.000998375, 0.001065173, 0.000905412, 0.001030395]","[0.000229272, 0.000218642, 0.000220891, 0.00020273, 0.000219661]","[26, 26, 26, 26, 26]","[54, 54, 54, 54, 54]"
persondata-greedy-1.0,"[1, 1, 1, 1, 1]","[13, 13, 13, 13, 13]","[0.418892551, 0.409024295, 0.405754893, 0.413582171, 0.407925582]","[9.614e-05, 0.00010124, 0.000107811, 8.778e-05, 0.00011046]","[0.370339205, 0.361128834, 0.358747443, 0.367141823, 0.357463039]","[0.013934331, 0.013759021, 0.014013961, 0.013734501, 0.01377349]","[0.000976143, 0.000982132, 0.001035073, 0.000985343, 0.001058153]","[0.00021537, 0.000216871, 0.00021805, 0.000215841, 0.000265441]","[26, 26, 26, 26, 26]","[54, 54, 54, 54, 54]"
persondata-random-0.5,"[0.515, 0.515, 0.51, 0.515, 0.53]","[5, 6, 6, 6, 6]","[0.26909689, 0.229819255, 0.25207676, 0.238685941, 0.254423128]","[0.000110611, 0.000100681, 0.00010122, 0.00010645, 0.00013432]","[0.204754131, 0.186705149, 0.209407824, 0.195196324, 0.206113345]","[0.030925489, 0.030155311, 0.030296079, 0.030494518, 0.030170609]","[0.001809076, 0.001609454, 0.001618485, 0.001628637, 0.001664834]","[0.000633841, 0.000464021, 0.000451332, 0.000481681, 0.000495262]","[15, 15, 15, 15, 15]","[32, 32, 32, 32, 32]"
persondata-random-0.7,"[0.715, 0.645, 0.75, 0.685, 0.71]","[8, 13, 8, 10, 11]","[0.627263624, 0.561651471, 0.520247591, 2.425910267, 0.518949621]","[0.000288901, 0.0001799, 0.0002023, 0.000836661, 0.000191542]","[0.514330882, 0.494763015, 0.438896109, 2.082832498, 0.436051137]","[0.08663318, 0.046130675, 0.06125073, 0.275372003, 0.061319016]","[0.004909017, 0.00259602, 0.00339364, 0.016354216, 0.003412276]","[0.001483885, 0.000715513, 0.000981584, 0.004704287, 0.001042041]","[40, 36, 31, 144, 31]","[80, 74, 64, 288, 64]"
persondata-random-0.9,"[0.585, 0.655, 0.675, 0.57, 0.72]","[11, 13, 11, 9, 10]","[1.427207075, 1.357755324, 1.702588741, 1.153271909, 1.649400096]","[0.000493593, 0.000526833, 0.000597563, 0.000460442, 0.000608913]","[1.226305819, 1.123306822, 1.445682769, 0.948775148, 1.395971006]","[0.159622254, 0.172016992, 0.1888308, 0.151746663, 0.203067793]","[0.009279886, 0.009795726, 0.011093053, 0.008558582, 0.011784607]","[0.002613587, 0.002911746, 0.003237667, 0.002583437, 0.003453298]","[87, 81, 106, 72, 107]","[176, 160, 208, 144, 208]"
persondata-random-1.0,"[0.65, 0.75, 0.74, 0.65, 0.75]","[8, 8, 11, 13, 8]","[0.983406733, 1.404722719, 1.44975199, 1.353203435, 0.976937357]","[0.000367122, 0.000538493, 0.00056525, 0.00042848, 0.00039799]","[0.828417401, 1.1717552740000001, 1.216210064, 1.179686148, 0.814283345]","[0.12314531, 0.189518452, 0.186959035, 0.134092858, 0.128559453]","[0.006887015, 0.010957804, 0.011069683, 0.007910974, 0.007056852]","[0.002028544, 0.00312454, 0.003169261, 0.002228777, 0.002055566]","[68, 91, 90, 80, 65]","[128, 176, 176, 160, 128]"
