index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time
flighthotel-greedy-sources-30-target-30,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[2.9100965309999998, 2.815080989, 2.749550536, 2.631800064, 2.652047385]","[0.00029489, 0.00030731, 0.000291672, 0.000288742, 0.000280131]","[2.8148570729999998, 2.731186068, 2.652497986, 2.5502234010000002, 2.558992531]","[0.019002437, 0.019648491, 0.019291161, 0.019293395, 0.018509627]","[0.005902592, 0.006317475, 0.005924202, 0.006019296, 0.005723231]","[0.000496523, 0.000508711, 0.000480982, 0.000499713, 0.000474973]"
flighthotel-greedy-sources-40-target-40,"[0.8801498127340824, 0.8801498127340824, 0.8801498127340824, 0.8801498127340824, 0.8801498127340824]","[6, 6, 6, 6, 6]","[1.147222032, 1.153190006, 1.167151772, 1.124424832, 1.156739224]","[0.000132592, 0.0001169, 0.00013097, 0.000125691, 0.000124341]","[1.10637741, 1.112890387, 1.123194913, 1.080888422, 1.110666992]","[0.007458096, 0.007491457, 0.008649636, 0.007669521, 0.007444638]","[0.002544134, 0.002622358, 0.002996995, 0.002633643, 0.002600653]","[0.000257621, 0.0002784, 0.000272044, 0.00024729, 0.000248561]"
flighthotel-greedy-sources-50-target-50,"[0.9084287200832466, 0.9084287200832466, 0.9084287200832466, 0.9084287200832466, 0.9001040582726326]","[6, 6, 6, 6, 6]","[1.928035604, 1.8853148, 1.878037629, 1.901024107, 1.341470844]","[0.000181521, 0.00014226, 0.000136942, 0.000161662, 0.00012433]","[1.8773190579999999, 1.831646518, 1.806447446, 1.840605233, 1.297252785]","[0.01274805, 0.012671276, 0.01356004, 0.016666375, 0.008840025]","[0.003936305, 0.003799703, 0.003879881, 0.004413407, 0.002865778]","[0.000310931, 0.000259222, 0.00030986, 0.00029132, 0.000249291]"
flighthotel-greedy-sources-60-target-60,"[0.9240393208221627, 0.9240393208221627, 0.9240393208221627, 0.9240393208221627, 0.9240393208221627]","[6, 6, 6, 6, 6]","[1.943892087, 1.980096743, 1.9460724329999999, 1.94572996, 1.965539142]","[0.000138971, 0.000128991, 0.00012715, 0.000128652, 0.00014757]","[1.889671312, 1.924596252, 1.8951590170000001, 1.893904679, 1.906242963]","[0.014917865, 0.01503861, 0.014013006, 0.01386332, 0.01532456]","[0.004094506, 0.004141951, 0.003713649, 0.00378116, 0.004276573]","[0.000249072, 0.000245652, 0.00023921, 0.000259171, 0.000295881]"
flighthotel-greedy-sources-70-target-70,"[0.9305230288836847, 0.9305230288836847, 0.9305230288836847, 0.9313036690085871, 0.9305230288836847]","[6, 6, 6, 6, 6]","[3.204675233, 3.189737105, 3.206454324, 3.503114692, 3.158956835]","[0.000139711, 0.00013245, 0.000142811, 0.000138341, 0.000141032]","[3.147002802, 3.117888193, 3.149727865, 3.446959453, 3.102010271]","[0.016108568, 0.016128335, 0.016045407, 0.017273241, 0.016009503]","[0.004644913, 0.004521383, 0.004727453, 0.004584185, 0.004732786]","[0.000260471, 0.000238891, 0.000243311, 0.00023924, 0.000242932]"
flighthotel-greedy-sources-80-target-80,"[0.9389312977099237, 0.9389312977099237, 0.9389312977099237, 0.9389312977099237, 0.9389312977099237]","[6, 6, 6, 6, 6]","[3.8411898190000002, 3.7673474750000002, 3.7886832950000002, 3.7474627529999998, 3.756458166]","[0.000140401, 0.000146223, 0.000144482, 0.000144111, 0.000148142]","[3.7694255979999998, 3.704644102, 3.727554562, 3.688824582, 3.696186369]","[0.018882752, 0.020490359, 0.019715326, 0.018979795, 0.018839439]","[0.004740066, 0.005139547, 0.004838947, 0.005038291, 0.004808228]","[0.000242942, 0.00024928, 0.000279832, 0.000259081, 0.000237402]"
flighthotel-greedy-sources-90-target-90,"[0.9468417761100688, 0.9468417761100688, 0.9468417761100688, 0.9468417761100688, 0.9468417761100688]","[6, 6, 6, 6, 6]","[3.792689715, 3.749850221, 3.5748571, 3.791290701, 3.778187636]","[0.000152631, 0.00014822, 0.00015983, 0.000159324, 0.000153231]","[3.731923161, 3.688401314, 3.511741147, 3.728486965, 3.716657056]","[0.019272865, 0.019382586, 0.018861817, 0.019358574, 0.018963208]","[0.005081257, 0.005089376, 0.005406972, 0.00551766, 0.005064901]","[0.000240543, 0.000239212, 0.000274042, 0.000340811, 0.000245791]"
flighthotel-greedy-sources-100-target-100,"[0.9516770892552586, 0.9516770892552586, 0.9516770892552586, 0.9516770892552586, 0.9516770892552586]","[6, 6, 6, 6, 6]","[4.077941188, 4.064523424, 4.048489454, 4.04302558, 4.10694291]","[0.000152741, 0.00014978, 0.00015532, 0.000173381, 0.00015885]","[4.01395842, 3.996693418, 3.981883752, 3.973722815, 4.034625579]","[0.020829152, 0.020801401, 0.020962562, 0.021443866, 0.022741144]","[0.00557616, 0.005550627, 0.005493789, 0.006421054, 0.006139299]","[0.0002437, 0.000241502, 0.000264653, 0.000291802, 0.00025791]"
flighthotel-naive-sources-0-target-0,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
flighthotel-naive-sources-10-target-10,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
flighthotel-naive-sources-20-target-20,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
flighthotel-naive-sources-30-target-30,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
flighthotel-naive-sources-40-target-40,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
flighthotel-naive-sources-50-target-50,"[0.9113660062565172, 0.9113660062565172, 0.9113660062565172, 0.9113660062565172, 0.9113660062565172]","[6, 6, 6, 6, 6]","[41.085429737, 40.779519921, 40.677030094, 40.608634418, 40.697992864]","[0.003234097, 0.003325334, 0.00325201, 0.003187726, 0.003226156]","[40.894679305, 40.599034385, 40.504966877, 40.435678995, 40.53022109]","[0.703746188, 0.710054666, 0.706470592, 0.709700206, 0.713218411]","[0.184798734, 0.188423062, 0.187121385, 0.193874511, 0.188480857]","[0.006408769, 0.006633503, 0.00679471, 0.006352125, 0.006513956]"
flighthotel-naive-sources-60-target-60,"[0.9240393208221627, 0.9240393208221627, 0.9240393208221627, 0.9240393208221627, 0.9240393208221627]","[6, 6, 6, 6, 6]","[46.508904938, 46.703079431, 46.556789408, 46.447336904, 46.662781087]","[0.003455634, 0.003432244, 0.003494728, 0.003428276, 0.003478716]","[46.302610831, 46.507776891, 46.355042283, 46.245123393, 46.467400187]","[0.930267922, 0.928607932, 0.925183147, 0.919364785, 0.949470602]","[0.213732942, 0.213540609, 0.213763566, 0.212107723, 0.235456431]","[0.006476898, 0.006443807, 0.0064056, 0.006392247, 0.006504183]"
flighthotel-naive-sources-70-target-70,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
flighthotel-naive-sources-80-target-80,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
flighthotel-naive-sources-90-target-90,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
flighthotel-naive-sources-100-target-100,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
