index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time
flighthotel-greedy-1,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[0.796775831, 0.644852929, 0.551127203, 0.502961889, 0.493227853]","[0.00017834, 0.000199109, 0.00015766, 0.00019966, 0.00016516]","[0.473616402, 0.384287754, 0.313426709, 0.275621869, 0.265045435]","[0.003584747, 0.003591026, 0.003701407, 0.003663334, 0.003653966]","[0.001779118, 0.001980649, 0.001780799, 0.001978617, 0.001822918]","[0.00054183, 0.00058048, 0.00052421, 0.000579969, 0.00054055]"
flighthotel-greedy-2,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[0.866985358, 0.768882878, 0.708932162, 0.730495352, 0.704892141]","[0.000233749, 0.00019644, 0.0001676, 0.00020986, 0.000207149]","[0.605899024, 0.52331534, 0.483172405, 0.493074743, 0.475671355]","[0.003775496, 0.003692728, 0.003715817, 0.003684395, 0.003755906]","[0.002200348, 0.001990369, 0.001793358, 0.00197244, 0.002041667]","[0.0006552, 0.000570549, 0.00053784, 0.00059453, 0.000591248]"
flighthotel-greedy-4,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[1.142501949, 1.08829175, 1.0631937, 0.989390678, 0.978047855]","[0.00022739, 0.000189969, 0.000219379, 0.000147259, 0.00021848]","[0.890208162, 0.829324426, 0.802687601, 0.761048816, 0.750271306]","[0.004126526, 0.004071135, 0.003942345, 0.003951784, 0.004127036]","[0.002179139, 0.001965879, 0.002027787, 0.001804379, 0.002129269]","[0.00064287, 0.00058531, 0.00059958, 0.00052121, 0.000630709]"
flighthotel-greedy-8,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[1.154420947, 1.104275206, 1.100904353, 1.127224953, 1.094068716]","[0.0002259, 0.000222559, 0.00020601, 0.000200019, 0.000226769]","[0.910570988, 0.869908604, 0.863643718, 0.888644692, 0.863590097]","[0.004064796, 0.004084193, 0.004040713, 0.004013464, 0.004081724]","[0.002063318, 0.002072118, 0.002027469, 0.002016767, 0.002141538]","[0.000597829, 0.000588619, 0.00058887, 0.00058795, 0.00065823]"
flighthotel-greedy-16,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[1.125182171, 1.109775273, 1.129984259, 1.059043533, 1.06505068]","[0.00022754, 0.00015537, 0.00022602, 0.00017141, 0.00017868]","[0.890053294, 0.861872491, 0.896536392, 0.829321548, 0.838694483]","[0.004061495, 0.003915866, 0.004095388, 0.004165783, 0.003990674]","[0.002180308, 0.001685999, 0.002143178, 0.001825079, 0.001898378]","[0.000661809, 0.000509999, 0.00062648, 0.000537279, 0.00054931]"
flighthotel-random-1,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[0.495354503, 0.489910526, 0.481458043, 0.483697308, 0.471201399]","[0.00018678, 0.00018229, 0.00016306, 0.000205289, 0.00019575]","[0.252887761, 0.261554914, 0.258546171, 0.258146696, 0.247172528]","[0.003626175, 0.003608417, 0.003591724, 0.003698566, 0.003635293]","[0.001899485, 0.001889337, 0.001825047, 0.001967247, 0.001939359]","[0.000557608, 0.000565999, 0.00053731, 0.000587868, 0.000571949]"
flighthotel-random-2,"[0.3515151515151515, 0.4727272727272727, 0.4727272727272727, 0.4121212121212121, 0.4727272727272727]","[5, 7, 7, 6, 7]","[0.340992103, 0.80672767, 0.772512437, 0.62737582, 0.490494114]","[0.00013009, 0.00029737, 0.00027312, 0.000235089, 0.00012722]","[0.207852543, 0.511073958, 0.488043844, 0.400608498, 0.308994784]","[0.001854449, 0.005050864, 0.004703653, 0.003543197, 0.003390408]","[0.001203366, 0.002855356, 0.002707936, 0.002183605, 0.001488906]","[0.000510838, 0.001026799, 0.000983599, 0.00082074, 0.000546689]"
flighthotel-random-4,"[0.32727272727272727, 0.3090909090909091, 0.3575757575757576, 0.5212121212121212, 0.4121212121212121]","[5, 4, 5, 9, 6]","[0.709877294, 0.544582149, 0.768974679, 1.247355728, 0.901093647]","[0.00012834, 0.00010709, 0.00019651, 0.000273729, 0.00014836]","[0.53376939, 0.410359096, 0.574607592, 0.960333555, 0.672529606]","[0.002914668, 0.001904477, 0.003237597, 0.005309703, 0.004028161]","[0.001478716, 0.001079698, 0.001878807, 0.002684877, 0.001723179]","[0.000587518, 0.000447068, 0.00070985, 0.00089833, 0.00063207]"
flighthotel-random-8,"[0.4121212121212121, 0.4, 0.3575757575757576, 0.3212121212121212, 0.3575757575757576]","[6, 6, 5, 5, 6]","[1.628275838, 1.092181246, 0.904687519, 0.934801973, 1.002947048]","[0.00023604, 0.00014735, 0.00014471, 0.0001602, 0.000233109]","[1.358794021, 0.89785872, 0.702580737, 0.778089357, 0.790420687]","[0.006115573, 0.004224056, 0.003522433, 0.003673624, 0.004144074]","[0.002584955, 0.001705628, 0.001625429, 0.001541307, 0.002115998]","[0.000883268, 0.00059584, 0.000629459, 0.000537878, 0.0007973]"
flighthotel-random-16,"[0.3575757575757576, 0.5151515151515151, 0.47878787878787876, 0.3151515151515151, 0.3575757575757576]","[6, 8, 8, 4, 6]","[1.074795046, 1.92087347, 1.7569867019999998, 0.837384767, 1.015499843]","[0.00022237, 0.00033004, 0.00024142, 0.00017073, 0.000218809]","[0.867933152, 1.562973721, 1.45089195, 0.659754425, 0.787058297]","[0.004199521, 0.007177869, 0.006945466, 0.003482545, 0.003727363]","[0.00213054, 0.003383705, 0.002717386, 0.001674038, 0.002099806]","[0.00077777, 0.001168448, 0.000892728, 0.000644939, 0.000796267]"
