transfo,type,elems,time,sim,size
start,start,0,0,0.694206008583691,0
R9_1,R9,4408658,15788,0.7084673097534834,6
R1_3_1,R1,2137860,10131,0.7124463519313304,5
R10_13_1,R10,1542729,20375,0.7113733905579399,3
R10_13_2,R10,1568728,20339,0.7113733905579399,3
R14_1,R14,3840,859,0.6995708154506438,1
R10_13_3,R10,66156,854,0.7113733905579399,3
R14_2,R14,46398,1056,0.6995708154506438,1
R10_13_4,R10,5463386,42382,0.7328326180257511,6
R6_1,R6,807086,10038,0.7135193133047211,4
