index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time,num_dup,num_tot
amalgam1_to_amalgam3-weighted_distance-50,"[0.935, 0.935, 0.935, 0.935, 0.935]","[22, 22, 22, 22, 22]","[219.112985231, 219.348313233, 211.26388582, 217.469682309, 211.674173682]","[0.000859461, 0.000840472, 0.000909951, 0.000855085, 0.000864673]","[1.178586127, 1.183212672, 1.202084809, 1.176326607, 1.191855957]","[207.880865822, 208.077210217, 200.133767953, 206.14199605, 200.50011162]","[7.871466431, 7.879415784, 7.7914551549999995, 7.925739545, 7.854036239]","[0.000559021, 0.000535291, 0.00058392, 0.000541229, 0.000584879]","[25, 25, 25, 25, 25]","[52, 52, 52, 52, 52]"
amalgam1_to_amalgam3-weighted_distance-100,"[0.935, 0.935, 0.935, 0.935, 0.935]","[22, 22, 22, 22, 22]","[213.746102048, 224.314627646, 229.920376623, 227.313778321, 224.528374705]","[0.000830725, 0.000876066, 0.001013595, 0.000895053, 0.000872454]","[1.2034827080000001, 1.284703347, 1.235148409, 1.24295634, 1.246746163]","[202.510692737, 212.127095465, 217.424565087, 215.064500633, 212.355627863]","[7.891928288, 8.516488268, 8.768785512000001, 8.56916795, 8.514514368]","[0.000545577, 0.00059179, 0.000638111, 0.000581486, 0.000542802]","[25, 25, 25, 25, 25]","[52, 52, 52, 52, 52]"
amalgam1_to_amalgam3-weighted_distance-200,"[0.935, 0.935, 0.935, 0.935, 0.935]","[22, 22, 22, 22, 22]","[217.683798414, 219.090895958, 218.161764312, 215.189965189, 216.681159567]","[0.000859045, 0.000896334, 0.000861417, 0.000863083, 0.001159924]","[1.227933755, 1.2656158180000001, 1.175704039, 1.21588159, 1.171786199]","[205.724211877, 207.091090046, 206.657420906, 204.027241815, 205.503968054]","[8.398738409, 8.392160864, 8.058391811, 7.786391526, 7.827592146]","[0.000535336, 0.000575596, 0.00055108, 0.000555319, 0.000583732]","[25, 25, 25, 25, 25]","[52, 52, 52, 52, 52]"
amalgam1_to_amalgam3-weighted_distance-None,"[0.935, 0.935, 0.935, 0.935, 0.935]","[22, 22, 22, 22, 22]","[216.398393936, 213.232333249, 216.500604574, 214.83898994, 214.780205065]","[0.000874274, 0.0008753, 0.000857267, 0.000882245, 0.000833742]","[1.177715291, 1.171328658, 1.178166313, 1.205940968, 1.161567204]","[205.109829658, 202.114181052, 205.279187978, 203.585459996, 203.631056484]","[7.930046543, 7.820960525, 7.880194195, 7.89761041, 7.823455472]","[0.000540612, 0.00055379, 0.000550411, 0.000546618, 0.000554421]","[25, 25, 25, 25, 25]","[52, 52, 52, 52, 52]"
amalgam1_to_amalgam3-naive-10,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[217.63807259, 213.460613421, 211.275729358, 214.333977187, 218.174949277]","[0.001097787, 0.001134485, 0.001134499, 0.001130151, 0.001187718]","[2.509220849, 2.579582771, 2.450141001, 2.477679236, 2.442179892]","[205.120682297, 201.003829664, 199.099941731, 201.90310735, 205.875860711]","[7.839343253, 7.816397385, 7.713852967, 7.870706495, 7.7935933649999996]","[0.000721634, 0.00074526, 0.000835626, 0.000759606, 0.000786737]","[55, 55, 55, 55, 55]","[112, 112, 112, 112, 112]"
amalgam1_to_amalgam3-naive-50,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[217.392155005, 217.264111553, 217.477196227, 217.343955043, 216.1782604]","[0.001143067, 0.001127721, 0.001155853, 0.001130547, 0.001127185]","[2.5008298570000003, 2.488871685, 2.47997139, 2.497752261, 2.466150179]","[204.972309293, 204.883754384, 205.140888061, 204.98547798, 203.942325909]","[7.836638496, 7.801311063, 7.797586827, 7.792102859, 7.6951987630000005]","[0.000766236, 0.00076131, 0.000787756, 0.000780537, 0.000764379]","[55, 55, 55, 55, 55]","[112, 112, 112, 112, 112]"
amalgam1_to_amalgam3-naive-100,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[214.872731532, 217.300037367, 219.646143613, 216.859760664, 217.741916055]","[0.00108754, 0.001130984, 0.00110513, 0.001107382, 0.001116775]","[2.46900379, 2.495483611, 2.503595937, 2.497936105, 2.457791241]","[202.630572552, 204.926006739, 207.1118742, 204.257063379, 204.776600776]","[7.755285913, 7.808093389, 7.919916047, 8.007329624, 8.145624485]","[0.00073368, 0.000761046, 0.000730419, 0.000762318, 0.000765024]","[55, 55, 55, 55, 55]","[112, 112, 112, 112, 112]"
amalgam1_to_amalgam3-naive-200,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[219.443420716, 212.702721463, 212.325813265, 217.828134136, 218.648205916]","[0.001140343, 0.001145833, 0.001115246, 0.001128083, 0.001177299]","[2.506516827, 2.455255063, 2.462623246, 2.481997745, 2.5223455599999998]","[207.032811284, 200.367395897, 200.112387798, 205.405673216, 206.088088436]","[7.821130019, 7.846977084, 7.7204964480000005, 7.85128289, 7.9246112459999996]","[0.000775431, 0.000780983, 0.00073434, 0.000761806, 0.00077904]","[55, 55, 55, 55, 55]","[112, 112, 112, 112, 112]"
amalgam1_to_amalgam3-naive-None,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[217.379484419, 211.953370532, 214.903142251, 217.952414248, 216.408533092]","[0.001150178, 0.001127872, 0.001129633, 0.001295014, 0.001164889]","[2.477576556, 2.429860689, 2.512771957, 2.5153904110000003, 2.448237394]","[204.920020373, 199.824732615, 202.476226079, 205.46816202, 204.184040118]","[7.880745463, 7.690878319, 7.8432017290000005, 7.870007478, 7.729350792]","[0.00074648, 0.000736333, 0.000777616, 0.00079156, 0.000767417]","[55, 55, 55, 55, 55]","[112, 112, 112, 112, 112]"
persondata-greedy-10,"[1, 1, 1, 1, 1]","[13, 13, 13, 13, 13]","[0.468961824, 0.42443197, 0.427217179, 0.422338736, 0.427949744]","[0.00010376, 0.000100291, 8.266e-05, 9.903e-05, 9.6421e-05]","[0.413287301, 0.37757918, 0.379334616, 0.372969519, 0.3801273]","[0.013781999, 0.013815507, 0.01371151, 0.013634229, 0.013874399]","[0.001004823, 0.000986704, 0.000904472, 0.000980371, 0.001061451]","[0.000229351, 0.000209811, 0.00021281, 0.000214481, 0.00022597]","[26, 26, 26, 26, 26]","[54, 54, 54, 54, 54]"
persondata-greedy-50,"[1, 1, 1, 1, 1]","[13, 13, 13, 13, 13]","[0.418075205, 0.413954586, 0.406686636, 0.4221495, 0.428351199]","[7.894e-05, 8.864e-05, 8.627e-05, 0.00010091, 8.6611e-05]","[0.367794847, 0.36520631, 0.358284942, 0.371739131, 0.380174615]","[0.013849708, 0.013892848, 0.013740289, 0.013824278, 0.013759207]","[0.000894043, 0.000953552, 0.000931341, 0.001014514, 0.000952293]","[0.00019661, 0.0002092, 0.00020836, 0.000221202, 0.00021512]","[26, 26, 26, 26, 26]","[54, 54, 54, 54, 54]"
persondata-greedy-100,"[1, 1, 1, 1, 1]","[13, 13, 13, 13, 13]","[0.415811074, 0.41064243, 0.415344754, 0.413053449, 0.415813158]","[9.057e-05, 7.6761e-05, 0.00010346, 9.351e-05, 8.55e-05]","[0.367319759, 0.36405264, 0.367712552, 0.364123602, 0.369169426]","[0.013820999, 0.01371435, 0.013893438, 0.013775678, 0.013772099]","[0.000984731, 0.000852032, 0.001062474, 0.000951063, 0.000919602]","[0.00021938, 0.00019787, 0.00022724, 0.00021094, 0.000209691]","[26, 26, 26, 26, 26]","[54, 54, 54, 54, 54]"
persondata-greedy-200,"[1, 1, 1, 1, 1]","[13, 13, 13, 13, 13]","[0.421074584, 0.411802098, 0.404615009, 0.405298361, 0.412845485]","[9.8401e-05, 0.000103001, 7.718e-05, 7.183e-05, 9.352e-05]","[0.372619809, 0.36339031, 0.356907753, 0.357376655, 0.360234777]","[0.013774159, 0.013889777, 0.013693279, 0.013714791, 0.013806897]","[0.001005363, 0.001037225, 0.000879511, 0.00088791, 0.000990303]","[0.000248011, 0.00022626, 0.0001965, 0.00020458, 0.000221381]","[26, 26, 26, 26, 26]","[54, 54, 54, 54, 54]"
persondata-greedy-None,"[1, 1, 1, 1, 1]","[13, 13, 13, 13, 13]","[0.413311145, 0.407137499, 0.404576023, 0.401325986, 0.416108688]","[9.935e-05, 8.996e-05, 9.549e-05, 8.165e-05, 9.2482e-05]","[0.364384519, 0.360774898, 0.356942249, 0.355463776, 0.370100205]","[0.013803908, 0.013775129, 0.013811358, 0.013661691, 0.013782608]","[0.001017384, 0.000964422, 0.001006254, 0.000866081, 0.000981754]","[0.000220971, 0.000227722, 0.00023067, 0.000193731, 0.00022105]","[26, 26, 26, 26, 26]","[54, 54, 54, 54, 54]"
persondata-random-10,"[0.735, 0.755, 0.65, 0.715, 0.58]","[11, 13, 8, 13, 8]","[1.723440191, 0.85248834, 0.700166335, 2.665395282, 0.758503881]","[0.000521363, 0.000305501, 0.00022894, 0.000873242, 0.000290693]","[1.473565298, 0.70820869, 0.588938029, 2.264387582, 0.629746506]","[0.179201258, 0.107576155, 0.076170757, 0.311510612, 0.09286811]","[0.010377172, 0.006090066, 0.00420258, 0.01832439, 0.005191358]","[0.00295534, 0.001738917, 0.001240836, 0.005191911, 0.001602227]","[96, 47, 39, 162, 47]","[192, 96, 80, 320, 96]"
persondata-random-50,"[0.595, 0.645, 0.66, 0.65, 0.73]","[8, 10, 13, 8, 13]","[1.5681884959999999, 2.398767663, 2.672903166, 1.055636515, 1.253498665]","[0.000541993, 0.000787498, 0.00069596, 0.000385767, 0.000470484]","[1.335460895, 2.053364551, 2.376927437, 0.877675936, 1.054477926]","[0.181719304, 0.263207448, 0.229387276, 0.138791336, 0.153438133]","[0.010560398, 0.015311618, 0.013859314, 0.007529482, 0.0089209]","[0.003048913, 0.004449984, 0.004032455, 0.002209556, 0.002524597]","[96, 154, 138, 75, 81]","[192, 304, 266, 144, 160]"
persondata-random-100,"[0.58, 0.595, 0.715, 0.745, 0.6]","[13, 10, 8, 13, 13]","[1.346714046, 1.475122632, 1.259394683, 1.5709356730000001, 1.141277575]","[0.000458823, 0.000490232, 0.000447104, 0.000596627, 0.000451025]","[1.15119371, 1.268403738, 1.065468181, 1.2917148250000001, 0.947564878]","[0.147038128, 0.158790991, 0.149630999, 0.215359366, 0.15000954]","[0.008461164, 0.00940782, 0.008925889, 0.012405809, 0.008656195]","[0.002430414, 0.00267482, 0.00269809, 0.00352653, 0.002627233]","[84, 93, 77, 97, 72]","[170, 186, 154, 192, 144]"
persondata-random-200,"[0.73, 0.56, 0.62, 0.75, 0.715]","[13, 6, 13, 8, 8]","[1.236895991, 0.822147881, 0.988367837, 1.069606062, 1.054485246]","[0.000459236, 0.000345412, 0.000336622, 0.000355461, 0.000411018]","[1.036677611, 0.676755307, 0.841479644, 0.920082439, 0.868548896]","[0.154481134, 0.111423901, 0.108780265, 0.108327293, 0.144653139]","[0.00883244, 0.005959682, 0.006485743, 0.006412682, 0.008310398]","[0.002548505, 0.001835586, 0.001843937, 0.001914421, 0.002506069]","[81, 58, 60, 63, 64]","[160, 112, 122, 128, 128]"
persondata-random-None,"[0.875, 0.595, 0.645, 0.65, 0.62]","[13, 10, 13, 8, 8]","[1.761045326, 1.042903355, 1.219045275, 1.276226957, 0.994954141]","[0.000607287, 0.000347241, 0.000428376, 0.000490143, 0.00036248]","[1.495670478, 0.900637129, 1.033415129, 1.077806335, 0.825974532]","[0.210263245, 0.104049676, 0.140336811, 0.155539097, 0.128948265]","[0.012207778, 0.00605196, 0.008033593, 0.008866804, 0.007386115]","[0.00351568, 0.001783658, 0.002327378, 0.002621503, 0.002210414]","[124, 69, 80, 80, 63]","[234, 138, 160, 160, 128]"
persondata-weighted_distance-10,"[0.575, 0.575, 0.575, 0.575, 0.575]","[5, 5, 5, 5, 5]","[0.787659288, 0.7480309, 0.748926112, 0.775804099, 0.746096804]","[0.00035297, 0.000340083, 0.00033237, 0.000316241, 0.000328852]","[0.626137064, 0.604586933, 0.607720852, 0.6324635, 0.604177038]","[0.10832239, 0.108107566, 0.107926352, 0.108377695, 0.108307373]","[0.005939375, 0.00574234, 0.005723462, 0.00561415, 0.005607167]","[0.001837108, 0.001812946, 0.001763763, 0.001658587, 0.001722523]","[62, 62, 62, 62, 62]","[112, 112, 112, 112, 112]"
persondata-weighted_distance-50,"[0.575, 0.575, 0.575, 0.575, 0.575]","[5, 5, 5, 5, 5]","[0.71314618, 0.76038681, 0.763805199, 0.754462247, 0.750197887]","[0.00035324, 0.000333899, 0.000333639, 0.000344331, 0.000326674]","[0.571033132, 0.615896665, 0.620613468, 0.611642696, 0.608239]","[0.108090432, 0.108525539, 0.109033252, 0.108661136, 0.108446871]","[0.005840677, 0.005808104, 0.005931938, 0.005913577, 0.005579584]","[0.001833657, 0.001714625, 0.001748843, 0.001842937, 0.001726573]","[62, 62, 62, 62, 62]","[112, 112, 112, 112, 112]"
persondata-weighted_distance-100,"[0.575, 0.575, 0.575, 0.575, 0.575]","[5, 5, 5, 5, 5]","[0.760742634, 0.745804567, 0.779956359, 0.759303158, 0.73547165]","[0.000323612, 0.000334389, 0.000350832, 0.00034892, 0.000343232]","[0.618588093, 0.603827888, 0.620316978, 0.61490156, 0.593251394]","[0.108934465, 0.108315463, 0.108263904, 0.107797218, 0.108530584]","[0.005763927, 0.005781516, 0.005770364, 0.005780712, 0.005809266]","[0.001714203, 0.001737883, 0.001731063, 0.001809077, 0.001733728]","[62, 62, 62, 62, 62]","[112, 112, 112, 112, 112]"
persondata-weighted_distance-200,"[0.575, 0.575, 0.575, 0.575, 0.575]","[5, 5, 5, 5, 5]","[0.73535282, 0.744884522, 0.74206333, 0.73696579, 0.743242797]","[0.000330281, 0.00031369, 0.00032873, 0.000330582, 0.000343783]","[0.593333272, 0.601322477, 0.59986667, 0.595013101, 0.598891508]","[0.108792869, 0.108197207, 0.108428825, 0.108032622, 0.108402534]","[0.005618155, 0.005591523, 0.005701325, 0.00569218, 0.005906828]","[0.001764367, 0.001728477, 0.001696059, 0.001736547, 0.001851567]","[62, 62, 62, 62, 62]","[112, 112, 112, 112, 112]"
persondata-weighted_distance-None,"[0.575, 0.575, 0.575, 0.575, 0.575]","[5, 5, 5, 5, 5]","[0.741643552, 0.758246491, 0.750152989, 0.760266241, 0.737953859]","[0.000335981, 0.000322962, 0.000328621, 0.000330482, 0.000328321]","[0.599297179, 0.616688114, 0.606873823, 0.618963491, 0.595423705]","[0.10862433, 0.10810258, 0.10834788, 0.108020372, 0.10914162]","[0.005704057, 0.005470105, 0.005862257, 0.005724653, 0.005805166]","[0.001724237, 0.001639377, 0.001753098, 0.001796307, 0.001747647]","[62, 62, 62, 62, 62]","[112, 112, 112, 112, 112]"
persondata-naive-10,"[1, 1, 1, 1, 1]","[13, 13, 13, 13, 13]","[343.932753862, 339.536007942, 339.469594164, 336.885245468, 339.541531593]","[0.064724853, 0.063214049, 0.063954304, 0.060281447, 0.064369442]","[343.21072993, 338.844625749, 338.810997406, 336.310332423, 339.023092312]","[26.530135509, 26.51823998, 26.601152208, 26.567226835, 26.485925573]","[1.616488749, 1.6225130810000001, 1.614875916, 1.597441503, 1.6170205229999999]","[0.437162324, 0.443213402, 0.437218382, 0.432672889, 0.437728407]","[23395, 23395, 23395, 23395, 23395]","[36696, 36696, 36696, 36696, 36696]"
persondata-naive-50,"[1, 1, 1, 1, 1]","[13, 13, 13, 13, 13]","[357.953295313, 410.96947093, 394.631909565, 403.604761681, 390.018870637]","[0.064322646, 0.063918923, 0.063602353, 0.061500306, 0.066996668]","[357.349371029, 410.372984782, 394.0272724, 403.114631968, 389.410148838]","[26.618973294, 26.753041341, 26.471301398, 26.406135455, 26.583862715]","[1.629347571, 1.6290528100000001, 1.606969264, 1.599785624, 1.618374582]","[0.439309995, 0.43683638, 0.437374714, 0.433421569, 0.436154212]","[23395, 23395, 23395, 23395, 23395]","[36696, 36696, 36696, 36696, 36696]"
persondata-naive-100,"[1, 1, 1, 1, 1]","[13, 13, 13, 13, 13]","[397.623165374, 362.246011651, 346.691265548, 363.699329945, 373.91574952]","[0.062347623, 0.061168275, 0.057529615, 0.061895433, 0.061776339]","[397.057561045, 361.693723561, 346.131880577, 363.112551784, 373.384305477]","[26.452545564, 26.458255701, 26.320111008, 26.393053231, 26.517793944]","[1.6047257579999998, 1.600534114, 1.575619326, 1.597806255, 1.623857023]","[0.43141189, 0.434005181, 0.427932459, 0.434791201, 0.436119289]","[23395, 23395, 23395, 23395, 23395]","[36696, 36696, 36696, 36696, 36696]"
persondata-naive-200,"[1, 1, 1, 1, 1]","[13, 13, 13, 13, 13]","[380.880299128, 401.827028715, 379.134161504, 371.276980671, 352.683238951]","[0.062235001, 0.059785498, 0.058578394, 0.060653101, 0.061133118]","[380.330031566, 401.341317969, 378.549469454, 370.790401929, 352.10281942]","[26.321719205, 26.417010805, 26.249107457, 26.515492701, 26.433255732]","[1.59699964, 1.596549261, 1.575294314, 1.593517779, 1.598457961]","[0.43410128, 0.433237445, 0.43220627, 0.43513636, 0.432405592]","[23395, 23395, 23395, 23395, 23395]","[36696, 36696, 36696, 36696, 36696]"
persondata-naive-None,"[1, 1, 1, 1, 1]","[13, 13, 13, 13, 13]","[386.521234583, 410.044254244, 363.944366335, 360.661946603, 360.611903238]","[0.063758932, 0.063241156, 0.058778368, 0.05901735, 0.061836986]","[385.887793591, 409.468477998, 363.377274422, 360.102560421, 360.007172558]","[26.489178836, 26.455755331, 26.403893093, 26.237320426, 26.467774992]","[1.619868801, 1.60951343, 1.582141788, 1.562069385, 1.60967069]","[0.437006309, 0.435324015, 0.427925508, 0.429166086, 0.436172015]","[23395, 23395, 23395, 23395, 23395]","[36696, 36696, 36696, 36696, 36696]"
flighthotel-greedy-10,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[1.251497272, 0.972290624, 0.942739455, 0.92918122, 0.967617126]","[0.000184041, 0.000179481, 0.000173541, 0.00017594, 0.000172491]","[1.156199126, 0.911635261, 0.882843506, 0.875052267, 0.909372034]","[0.011893713, 0.011889661, 0.011994301, 0.01197981, 0.011950961]","[0.001845005, 0.001800124, 0.001858147, 0.001846249, 0.001811823]","[0.000548081, 0.00054789, 0.000570172, 0.000559434, 0.000543761]","[53, 53, 53, 53, 53]","[108, 108, 108, 108, 108]"
flighthotel-greedy-50,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[0.99264103, 0.856744858, 0.878463819, 0.842971381, 0.831852613]","[0.00019163, 0.000175381, 0.000175151, 0.000162001, 0.000167631]","[0.935272027, 0.803584515, 0.822777122, 0.791166178, 0.780481092]","[0.012434362, 0.012023709, 0.012014668, 0.011891449, 0.011794162]","[0.001951176, 0.001839859, 0.001793599, 0.001781507, 0.001771833]","[0.000595903, 0.000575092, 0.000543371, 0.000574273, 0.00054359]","[53, 53, 53, 53, 53]","[108, 108, 108, 108, 108]"
flighthotel-greedy-100,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[0.864679023, 0.887167296, 0.87004801, 0.879779292, 0.851741727]","[0.000178482, 0.0001731, 0.00017147, 0.00017172, 0.00014735]","[0.807999406, 0.835428896, 0.814347205, 0.820516592, 0.800573448]","[0.011988119, 0.011912689, 0.011950591, 0.011852311, 0.011880628]","[0.001833315, 0.001814677, 0.001796266, 0.001813044, 0.001799156]","[0.00054949, 0.000557174, 0.000554012, 0.000568021, 0.000564262]","[53, 53, 53, 53, 53]","[108, 108, 108, 108, 108]"
flighthotel-greedy-200,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[0.84928063, 0.854191476, 0.85562323, 0.773531337, 0.746875499]","[0.00017431, 0.00017554, 0.00018173, 0.00018482, 0.000178231]","[0.794657319, 0.799236862, 0.804190248, 0.71993395, 0.694494033]","[0.011853043, 0.011949481, 0.011838873, 0.011924929, 0.011998354]","[0.001809294, 0.001818583, 0.001808585, 0.001867407, 0.001802614]","[0.000580481, 0.00056751, 0.000552881, 0.000586753, 0.000551731]","[53, 53, 53, 53, 53]","[108, 108, 108, 108, 108]"
flighthotel-greedy-None,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[0.749710337, 0.784421012, 0.745688524, 0.749944089, 0.748618353]","[0.000189831, 0.000189632, 0.000180701, 0.00016983, 0.00017838]","[0.697973566, 0.719160966, 0.692969908, 0.69708906, 0.695090277]","[0.011952212, 0.011996891, 0.011901828, 0.011929922, 0.011928259]","[0.001851775, 0.001869376, 0.00190586, 0.001775524, 0.001849985]","[0.0005576, 0.000550483, 0.000578292, 0.000548591, 0.000560001]","[53, 53, 53, 53, 53]","[108, 108, 108, 108, 108]"
flighthotel-random-10,"[0.51, 0.725, 0.47, 0.46, 0.35]","[8, 12, 8, 8, 6]","[1.5371698089999999, 1.799452267, 1.442056381, 1.870881821, 0.767400803]","[0.000254531, 0.000350201, 0.000269441, 0.000344661, 0.000158701]","[1.440400586, 1.70832879, 1.365895966, 1.777226603, 0.71563754]","[0.023894522, 0.030071291, 0.025091062, 0.032769418, 0.01499232]","[0.002911548, 0.003759441, 0.00296484, 0.003617963, 0.001703696]","[0.000985215, 0.001228384, 0.001035015, 0.001186762, 0.000634491]","[126, 160, 123, 168, 77]","[232, 286, 232, 304, 140]"
flighthotel-random-50,"[0.47, 0.32, 0.415, 0.29, 0.295]","[7, 5, 6, 4, 5]","[0.980878151, 0.634921784, 0.65779608, 0.461089788, 0.398186679]","[0.00026668, 0.00014266, 0.00015589, 0.00010515, 9.427e-05]","[0.912902945, 0.586949485, 0.609413718, 0.416856281, 0.363665744]","[0.01793048, 0.013063024, 0.012561601, 0.00867057, 0.007447066]","[0.002833612, 0.001571703, 0.001667915, 0.001128654, 0.001037222]","[0.001040473, 0.00057076, 0.000603702, 0.000430804, 0.000413202]","[99, 66, 63, 43, 38]","[174, 118, 116, 80, 72]"
